Address,Quality,Size,Name
0x0000007100000024,U,000316,_init
0x0000007100000160,U,000052,_fini
0x000000710000019c,U,000008,
0x00000071000001ac,U,000004,__nnDetailNintendoSdkRuntimeObjectFileRefer
0x00000071000001b0,U,000004,__nnDetailNintendoSdkRuntimeObjectFile
0x00000071000001b4,U,000004,__nnDetailNintendoSdkNsoFileRefer
0x00000071000001b8,O,000340,_ZN17AmiiboNpcDirectorC2Ev
0x000000710000030c,O,000196,_ZN17AmiiboNpcDirector4initEP18ProjectNfpDirectorPN2al13AudioDirectorE
0x00000071000003d0,O,000540,_ZN17AmiiboNpcDirector26initAfterPlacementSceneObjERKN2al13ActorInitInfoE
0x00000071000005ec,O,000432,_ZN17AmiiboNpcDirector22updateSearchAmiiboNameEv
0x000000710000079c,O,000068,_ZN17AmiiboNpcDirector25requestAppearAmiiboLayoutEv
0x00000071000007e0,O,000008,_ZN17AmiiboNpcDirector25requestDecideAmiiboLayoutEv
0x00000071000007e8,O,000008,_ZN17AmiiboNpcDirector22requestEndAmiiboLayoutEv
0x00000071000007f0,O,000008,_ZN17AmiiboNpcDirector17isEndAmiiboLayoutEv
0x00000071000007f8,O,000172,_ZN17AmiiboNpcDirector20registerSearchAmiiboEiim
0x00000071000008a4,O,000232,_ZN17AmiiboNpcDirector21deleteSearchEndAmiiboEv
0x000000710000098c,O,000112,_ZN17AmiiboNpcDirector14isSearchAmiiboEi
0x00000071000009fc,O,000136,_ZNK17AmiiboNpcDirector18getSearchAmiiboNumEv
0x0000007100000a84,O,000136,_ZNK17AmiiboNpcDirector21getSearchEndAmiiboNumEv
0x0000007100000b0c,O,000164,_ZNK17AmiiboNpcDirector29getSearchEndAmiiboNumRealTimeEv
0x0000007100000bb0,O,000096,_ZN17AmiiboNpcDirector20isEnableSearchAmiiboEv
0x0000007100000c10,O,000312,_ZN17AmiiboNpcDirector18setTouchAmiiboNameEii
0x0000007100000d48,O,000184,_ZN17AmiiboNpcDirector23trySetAmiiboCostumeNameEi
0x0000007100000e00,O,000136,_ZN17AmiiboNpcDirector26checkTimeReverseAndRestoreEv
0x0000007100000e88,O,000120,_ZN17AmiiboNpcDirector25tryGetTriggerTouchNfpInfoEv
0x0000007100000f00,O,000128,_ZN14AmiiboFunction25tryGetTriggerTouchNfpInfoEPKN2al18IUseSceneObjHolderE
0x0000007100000f80,O,000028,_ZN14AmiiboFunction26getLastTriggerTouchNfpInfoEPKN2al18IUseSceneObjHolderE
0x0000007100000f9c,O,000028,_ZN14AmiiboFunction13startNfpTouchEPKN2al18IUseSceneObjHolderE
0x0000007100000fb8,O,000028,_ZN14AmiiboFunction12stopNfpTouchEPKN2al18IUseSceneObjHolderE
0x0000007100000fd4,O,000032,_ZN14AmiiboFunction17isNfpErrorHandledEPKN2al18IUseSceneObjHolderE
0x0000007100000ff4,O,000076,_ZN14AmiiboFunction25requestAppearAmiiboLayoutEPKN2al18IUseSceneObjHolderE
0x0000007100001040,O,000028,_ZN14AmiiboFunction25requestDecideAmiiboLayoutEPKN2al18IUseSceneObjHolderE
0x000000710000105c,O,000028,_ZN14AmiiboFunction22requestEndAmiiboLayoutEPKN2al18IUseSceneObjHolderE
0x0000007100001078,O,000028,_ZN14AmiiboFunction17isEndAmiiboLayoutEPKN2al18IUseSceneObjHolderE
0x0000007100001094,O,000028,_ZN14AmiiboFunction20getAmiiboTouchLayoutEPKN2al18IUseSceneObjHolderE
0x00000071000010b0,O,000140,_ZN14AmiiboFunction18getSearchAmiiboNumEPKN2al18IUseSceneObjHolderE
0x000000710000113c,O,000140,_ZN14AmiiboFunction21getSearchEndAmiiboNumEPKN2al18IUseSceneObjHolderE
0x00000071000011c8,O,000024,_ZN14AmiiboFunction29getSearchEndAmiiboNumRealTimeEPKN2al18IUseSceneObjHolderE
0x00000071000011e0,O,000148,_ZN14AmiiboFunction20registerSearchAmiiboEPKN2al18IUseSceneObjHolderERKNS0_7NfpInfoE
0x0000007100001274,O,000160,_ZN14AmiiboFunction14isSearchAmiiboEPKN2al18IUseSceneObjHolderERKNS0_7NfpInfoE
0x0000007100001314,O,000024,_ZN14AmiiboFunction21deleteSearchEndAmiiboEPKN2al18IUseSceneObjHolderE
0x000000710000132c,O,000184,_ZN14AmiiboFunction16setTalkStartTimeEPKN2al18IUseSceneObjHolderE
0x00000071000013e4,O,000028,_ZN14AmiiboFunction23getMessageTagDataHolderEPKN2al18IUseSceneObjHolderE
0x0000007100001400,O,000320,_ZN14AmiiboFunction18setTouchAmiiboNameEPKN2al18IUseSceneObjHolderEii
0x0000007100001540,O,000024,_ZN14AmiiboFunction23trySetAmiiboCostumeNameEPKN2al18IUseSceneObjHolderEi
0x0000007100001558,O,000012,_ZNK17AmiiboNpcDirector15getSceneObjNameEv
0x0000007100001564,O,000004,_ZN17AmiiboNpcDirectorD2Ev
0x0000007100001568,O,000004,_ZN17AmiiboNpcDirectorD0Ev
0x000000710000156c,O,000004,_ZN2al9ISceneObj12initSceneObjEv
0x0000007100001570,O,000008,_ZNK17AmiiboNpcDirector14getAudioKeeperEv
0x0000007100001578,O,000008,_ZThn8_NK17AmiiboNpcDirector14getAudioKeeperEv
0x0000007100001580,O,000004,_ZN4sead14SafeStringBaseIcED0Ev
0x0000007100001584,O,000004,_ZNK4sead14SafeStringBaseIcE22assureTerminationImpl_Ev
0x0000007100001588,O,000004,_ZN4sead15FixedSafeStringILi64EED0Ev
0x000000710000158c,O,000240,_ZN4sead15FixedSafeStringILi64EEaSERKNS_14SafeStringBaseIcEE
0x000000710000167c,O,000004,_ZN4sead14SafeStringBaseIcED2Ev
0x0000007100001680,O,000004,_ZN4sead22BufferedSafeStringBaseIcED0Ev
0x0000007100001684,O,000064,_ZN21HelpAmiiboCoinCollectC1EP18HelpAmiiboDirectorPN2al9LiveActorE
0x00000071000016c4,O,000080,_ZN21HelpAmiiboCoinCollect18initAfterPlacementERKN2al13ActorInitInfoE
